_id,createdAt,direction,entry,exit,startIndex,startDate,stop,ticker,totalDays
DEYMHn7JwJozgRBod,1429980773865,down,10.32,10.97001,91,1092355200,12,NVDA,3
hSTCfakPAnqBdqTj2,1429980807968,down,13.83,14.69001,114,1095292800,14.77,NVDA,2
T3LpZD6gxdKJAniey,1429980829397,down,13.94001,15.12,121,1096243200,15.4,NVDA,5
JA7a65kSNv4kmtsZG,1429980855114,down,13.34001,15.04,136,1098057600,15.04,NVDA,7
YGrC3Etq265He6XLe,1429980886655,up,35.31,33,90,1010620800,33,PNR,3
oNn2gXnNWD3PaAPET,1429980896521,down,33.00,33.08,95,1011225600,34,PNR,4
6XK7Sdoe35BtTbeSG,1429980922186,down,35.41,34.10,104,1012435200,36.03,PNR,3
nwsHX6SE6iWTbSrhN,1429980952107,up,37.55,38.50,116,1014076800,36.73,PNR,4
i3wjMb5T5bkKfdBDs,1429981030403,down,46.24,45.77,191,1023321600,47.52,PNR,3
JQeQAKnSRkD8omNds,1429981080689,up,51.875,52.76,91,980121600,48.2,UNP,13
M6nGSkj2eguk2pKBM,1429981129573,up,53.70,55.24,112,982713600,52,UNP,4
FATHcG3y8faXaki84,1429981157194,up,55.30,56.83,121,983836800,53.97,UNP,4
s7jL6SRKET5CojzWA,1429981268863,up,13.76,13.33,113,1258416000,13.33,NVDA,2
stGaycHdNQjsTPSJX,1429981281087,down,13.07,12.79,119,1259107200,13.34,NVDA,2
JAgqdvnwunw8v7zvq,1429981305002,up,15.85,16.09,126,1260144000,13.49,NVDA,1
zhxC5AXroCxXK3zYD,1429981322671,up,15.56,17.79,132,1260835200,14.97,NVDA,9
mvKLYuDa9f4k9izcu,1429981412657,up,17.00,17.84,172,1265932800,15.58,NVDA,3
bqK98b39Ze8jjBGkq,1429981503482,down,38.40,37.55,90,988675200,46.04,VRTX,4
Wq4JyyRXPnxtbbBBp,1429981553600,up,37.76,41.73,103,990144000,32.98,VRTX,2
7uXePuozkeWyYT9YQ,1429981572230,up,45.10,42.40,108,990748800,39.98,VRTX,3
LWt6gSPccgBoisqz4,1429981609761,up,43.90,43.98,119,992304000,43.98,VRTX,1
S2aZnCMkNhHeWGZ2r,1429981647039,down,43.71,47.22,130,993600000,47.22,VRTX,2
qMdFkCvDfg95K47xF,1429981699282,up,93.03,92.97,90,1293062400,91.22,FDX,8
nihazJhkd5hsKBGmb,1429981769479,up,94.41,91.22,113,1296086400,91.22,FDX,2
xoTMfL2jrDfRoSJEZ,1429981828253,down,25.70,25.44,105,1274227200,27.04,CCE,5
QKp6X9NNCtjquBizH,1429981867104,up,26.92,26.79,128,1277164800,26.79,CCE,1
tKneA2ifKAQfaykns,1429981896531,up,27.25,27.69,139,1278547200,26.1,CCE,6
rxGwvwaCmni8f9ysk,1429981990759,up,18.20,18.35,106,1255564800,17.8,MO,3
zKWrkRqBA6FZmAu4L,1429982022074,up,19.23,19.34,125,1257897600,18.79,MO,4
Bqrec74Z6ZvyGmZ6i,1429982096909,up,67.14,66.21,90,1178582400,63.97,NUE,6
wF7frxpMkANQtjbB4,1429982126875,up,65.71,64.98,100,1179792000,64.98,NUE,2
h7u7c5Hcn7XkYK65m,1429982158399,down,61.50,57.69,121,1182384000,64.02,NUE,5
NhK9TsB7S8aiPvZ5u,1429982233249,down,49.47,45.86,159,1187136000,52.02,NUE,2
CEPJDrGeENu6c2i78,1429982287965,up,45.23,44.48,93,1063756800,44.48,BMS,6
KdHDRyAvAsS3Thcye,1429982342785,up,46.12,45.72,131,1068422400,45.29,BMS,3
HeE94rWa3ZiRsA5oy,1429982369146,up,49.50,48.85,155,1071446400,48,BMS,6
aXJTeDCrTLuWGkhvb,1429982435468,up,13.80,13.68,101,987984000,13.48,TSN,7
D4aLzxrD8kQKwPg6R,1429982490575,down,12.82,12.80,125,990748800,13.52,TSN,2
WNhtjXdT6ea7v6AuS,1429982562976,down,26.12,26.43,150,1314144000,27.03,PLD,4
7gye2Lj2gEcbYK8KH,58.87,58,1,1250467200,92,up,1429982649825,MTB,58
4a2kt8Lrap9LWrDg8,61.64,61.76,6,1251072000,97,up,1429982669062,MTB,59.72
BH3uLiuwg87dhQp9Y,65.97,66.27,8,1255305600,131,up,1429982706041,MTB,62
D9dogwbfJnZPqKnjZ,64.65,62.50,4,1257811200,152,up,1429982732157,MTB,62
B5mvyacpwBAETvTdQ,124.33,158.73,33,1386892800,90,up,1429982770098,ALXN,116
