_id,createdAt,direction,entry,exit,startIndex,startDate,stop,ticker,totalDays
smLnNdG3PX7TFEqWS,1432142708598,up,51.00,51.94,131,1099958400,48,KSS,4
59BjR3AkWk6mZYJmB,1432142764315,up,46.95,47.48,174,1105401600,45,KSS,6
NxYFE4h6sem9Kefv5,1432142812773,up,47.08,46.8,190,1107388800,45,KSS,12
S6gy4Z8B4AnYHbn59,1432142940539,up,85.45,83.1,131,1305072000,82,DVA,12
rhxa2TN3tLWrhwcrH,1432143019031,up,84.70,88,157,1308268800,81,DVA,15
B2weN9aCmGE62SReW,1432216118280,up,47.34,54.38,136,1131062400,42,JOY,22
wYTMmEJ8jijpti3zi,1432216362586,down,35.29002,36.45,131,1098835200,36.5,HCBK,2
ngF5dK9pjD8hgKwJi,1432389694328,down,28.63998,28.03,130,1003363200,31,MRO,11
SPLMvxgxurSiez6Xj,1432389875152,down,27.48997,28.5,168,1008115200,29.2,MRO,8
wLPxKrn7gm3qNtrXi,1432389928602,up,56.25,57.97,130,1011052800,52,NKE,9
WwufZpFf7BchGzs8w,1432390166735,down,22.99,21.05,130,1321574400,26.2,JNPR,6
jy4fYhgzadYN9eCJA,1432390298821,up,133.50999,134,142,1285545600,130,IBM,4
kau6v2LuXLBhf8uZa,1432390385450,down,31.48,30.65,151,1306195200,34,URBN,5
r8m9Wcfhyr6tE8wWC,1432390539194,down,33.64,33.7,130,1188172800,35,EBAY,4
SYDoPF6zmDz3ZcpQk,1432390753610,down,40.40,37.51,156,1186704000,44,CNX,6
AygQXZqDtJ3rFfGv3,1432401833276,up,57.68,58.77,130,1129161600,57,WFC,5
3Z3yD5LNAEode99ZL,1432401935786,down,15.15,14.75,130,1281052800,16,KIM,6
ZBB7p5dTFGNX6EYLJ,1433373607230,up,35.26,38,150,1014854400,33.5,NBL,7
PWgmztNgwAF7mSywC,1433373804703,up,46.06248,50,144,931824000,44,CSX,7
PaQt9WLFS8mZ2Z9zn,1433378486669,up,18.20,17.65,132,1337904000,17.5,KIM,4
cmSp5MgXbBMXiH9RR,1433378511710,down,17.52,18.3,137,1338768000,18.5,KIM,4
zLBqdNfE8SkQgPJyS,1433378564607,up,36.39,34.3,152,1330473600,34,HSP,5
SxXnhur4AghhMzFNi,1433378596064,up,38.00,36.6,130,1090886400,35.5,FIS,9
uvGiLRCG337uA7hJJ,1433378647394,up,37.00,37.88,146,1092787200,35.4,FIS,4
9a2woRDFgLZxPdec4,1433378689771,up,38.30,38.98,154,1093824000,36,FIS,8
h7YEP2pr9EPHYY5Mo,1433378767214,down,48.43,48.6,130,1147219200,51,MCK,12
CDN4Yog3vi3NqAFQB,1433378864657,down,47.15,48,166,1151625600,49,MCK,7
AtcvdE5tJ6rk56a8q,1433418150362,up,18.25,16.2,130,1241481600,16,NNN,3
xLxL5FHc9hkkhnyPj,1433418193566,up,16.18,16.2,136,1242172800,14.5,NNN,11
QZoZ7LpxDQo3mDznw,1433418379234,up,66.15008,65,151,1008288000,60,GILD,12
JEz73ht39nxnp8EuH,1433418488576,down,33.375,33,134,936921600,35,ALL,4
5gWD9vjJqrTvvkR4y,1433418542949,up,69.10,67.6,130,1043798400,66,BAC,9
RfdgicoMz69hmxb84,1433418627658,up,66.74,68.44,130,1375056000,64,ROST,7
2cwratPf22GPWscbD,1433418900486,up,31.82,31.6,130,1053648000,30,RTN,11
CKBwEdpKH89Fny9CG,1433453731725,up,27.79,26.6,134,1406592000,26.5,GT,2
6PrXmNvA7ygeoYjAi,1433453756240,down,22.625,20.6875,132,949968000,25,JWN,9
mPqm5dRw5zkDnsrvm,1433695014044,down,23.66,24.95,130,1393372800,25.25,NEM,7
LfQ6pDbs7vsi4ReAj,1433695081902,up,24.45,23.2,148,1395619200,23,NEM,3
PodQnw37yZq5NKzWR,1433695111847,up,53.35,51.3,130,1312329600,51,AMGN,3
JJMHTQWJ2hQkX87yN,1433695132935,up,84.30,80.05,130,1365638400,80,MPC,2
HfeuocHYQNN7exJGq,1433695231483,up,48.54,49.29,169,1092182400,46,VFC,11
Yi8qYPScN5QmkTQBL,1433696169785,up,114.30,116,150,1184198400,110,FDX,7
SgF4ei4BTkWEdLztv,1433696288412,up,39.47,38.8,130,1264118400,38,BBBY,10
tPSZreRAkXMrnAEAZ,1433696351454,up,37.91,39.79,130,1009324800,35,ADSK,12
vWzYS65x2vDyAcLTz,1433704736599,down,44.05986,43.02,130,1188172800,46,MAR,4
XMgeQrytpPyS3A35c,1433704789856,down,43.02987,44.9,145,1190073600,45,MAR,2
PjKF6qKqoeBvwiZti,1433704812880,up,26.35,27.87,130,1014163200,24,MAS,8
uF7DXpDirPFt6YwKH,1433704875362,up,26.20,26.98,154,1017100800,25,MAS,4
KKvmiGmXumPjSKErQ,1433704928092,up,39.39,40.97,130,1027900800,34,MS,13
fpeeCRiDbZK6ubGmp,1433705022111,down,42.00,40.88,153,1030579200,46.5,MS,7
nP7x2iMuHwFxtG2wc,1433705089489,down,20.00,19.52,130,970790400,21.1,GPC,10
4wBvhW6hjpHm3DyvR,1433705183108,up,50.90,52.98,130,1413331200,48,C,15
5WRo6r2RXNx6e66Jc,1433870802843,up,31.58,30.4,132,1278028800,28,DISCK,13
tq3Ade4c6wLgMqu2C,1433870897276,up,49.810001,50.78,137,1333929600,47.6,KSS,9
TizKsLEJFCFPKuh3j,1433896991009,up,51.970001,55.478,160,1173225600,48,CERN,16
fj6WxJCcZyerSyp7G,1433897196143,up,35.939999,37.45,131,1134086400,33,NVDA,14
krnMzDJpbDtZ5PBzx,1433897300795,down,26.999997,25.14,130,939254400,30,HRS,9
9usBFuQizzQut9tpF,1433897392901,up,86.230003,86.589996,130,1371168000,83,UPS,20
hCpvapcjN8cybJdps,1433939038650,up,41.68,42.25,162,1200009600,40,HSP,3
9cmfz9ebdR66bBeYA,1433939068626,up,42.200001,40.9,166,1200528000,40.5,HSP,3
7DPEJBndSqSJG54jv,1433939325466,down,14.63,12.25,130,1224115200,20,EBAY,28
24GjJJhNrXPMGTre7,1433939708022,down,42.50,45.25,130,953769600,46,DHR,4
dWonbrLmhbiNnDsBb,1433939751960,up,51.437519,57.45,150,956188800,46,DHR,9
Et47aiXu7MFd92PDW,1434591221091,up,29.059999,27.5,130,999043200,26.1,ROST,8
RNyKwePMW7rvtrfAE,1434591285157,up,26.65,29.98,144,1001376000,24,ROST,8
S3j38qR7hnetA7prv,1434591362823,down,243.369995,231,138,1350432000,254,AMZN,8
G2kPfTYfa9rahEnJK,1434591477514,up,235.410004,225,150,1352160000,222,AMZN,4
X8qe6DzoKFFQxy7Pz,1434591531836,down,25.83999,26.57,130,1154044800,26.66,DLTR,2
QZoDMGLzThBsb2KXH,1434591568533,down,24.280001,21.41,154,1225843200,27,BBBY,7
DxXzkmy7vFh3Es5G7,1434593448561,down,82.779999,85,132,1401235200,86,PRU,5
Mf8XQAEiQJtZmYXLG,1434593487386,up,89.360001,90,147,1403049600,86.3,PRU,5
zk7Fr2tB5eWEW6Nq9,1434593518531,up,88.800003,90.75,154,1403827200,86.5,PRU,6
LHomk3hbeBehvFL8q,1434593581908,up,88.309998,88,162,1404950400,88,PRU,1
of2WmY3R2AQH67RNX,1434593586429,up,90.589996,89.9,164,1405296000,0,PRU,8
pKoEKFHT4gJCz2bvF,1434593684800,up,65.260002,63.4,134,1370822400,63,MCO,3
TK8o8Gv9y8k5pYPhD,1434593715249,up,61.959999,63.75,154,1373328000,58,MCO,14
MyevKdLWz2o4xKsnw,1434669286109,down,40.349998,41.7,130,1205798400,42,CSC,4
