_id,createdAt,direction,entry,exit,startIndex,startDate,stop,ticker,totalDays
4M53jXmXFEhzsqGMr,1429996163984,down,29.16,26.26,90,1187654400,46,LEN,20
WgGCnQEAguY8Z3PTJ,1429996195822,down,24.71,15.93,122,1191542400,38,LEN,40
DZvuymgfwAyqBpfyw,1429996286883,up,48.25,40,90,962841600,40,EMN,52
RA8ESzzh4sNKSsWLS,1429996333912,up,30.82,34.2,90,1289865600,28,DOW,46
vLeHG87t5vGxRew4T,1429996415891,up,80.88,80.75,130,1377216000,74,ZMH,44
gSYgyrKWYwxDdfLJf,1429996470234,up,88.17,90.4,176,1383004800,80,ZMH,34
SXxaX4Tg6bkDGdJQH,1429996656530,up,34.35,36.94,90,1257724800,32,SCG,39
RRMKnt4Xbq323uBkL,1429996755577,up,36.42,36.8,160,1266796800,33,SCG,12
372pbRqdpQWyvdDXP,1429996816502,up,7.87,6.48,90,1057104000,6.48,RHT,17
osZwb96A9JZFbE6vp,1429996839780,up,6.74,9.88,120,1060819200,5.89,RHT,26
2ihcnBHTmpDXxz2dP,1429996926813,up,8.67,8.94,93,1242691200,5,HST,16
sBzs54CdCwbsN5WP9,1429996972859,up,8.10001,7.44,121,1246233600,6.78,HST,9
77kFAKBWGTGQB8rXF,1429996991609,up,8.19,9.92,133,1247702400,6.99,HST,14
nCzHJ94rfctRibYv3,1429997053415,up,188.44,190.80,90,1401408000,175.77,MCK,37
zCC7JcKW8T2oz5iF2,1429997171897,up,30.75,23.00,90,949017600,26.96,NWL,6
8p24xgq2TfEMpWW2p,1429997190841,down,26.3125,23.55,100,950227200,32.05,NWL,23
zTfqZouerxazpS8kB,1429997274536,down,46.70,49.93,92,988156800,50.05,GE,8
adcf3Q3brh5zT6Wpy,1429997297333,up,52.00,48.75,108,990057600,46,GE,14
wGMk25G8tg34e6Snw,1429997335262,down,56.96,61.15,90,1357776000,62.04,ROST,10
iqzE9FatJFTXtXMQc,1429997367302,down,58.67,58.66,118,1361404800,63.06,ROST,22
izfcjGLnJ8sAEtKFg,1429997431557,down,206.06,203,110,1198108800,240,GS,27
wh2SpKSvWQTZGh9fE,1429997532249,up,95.89,88.68,96,1216857600,87.79,PX,8
rvQyKd3SoQhXdRrv9,1429997550953,down,87.83,87.81,110,1218585600,94.05,PX,27
NFDuTFwjpHDvgAsqn,1429997619377,up,26.12,24.97,91,1302048000,24.97,NNN,40
ZmucjH7rMdZBawShw,1429997642434,down,24.37,25.05,148,1309219200,25.05,NNN,6
kMQG7sS3KSWcrCrdX,1429997659711,down,15.16,20.05,90,1035936000,20.05,TXN,19
iT2YNmL83asyAe7yj,1430010538582,up,63.625,65.50,90,967593600,59.93,APA,12
icw5SMm95tX4KSBTo,1430010609116,up,60.37499,56.9375,110,970099200,55,APA,5
bnvwtMi6v8QQEzqsJ,1430010661797,up,42.25,40.625,133,957139200,35,AVP,31
Ykbo65YhP9BEr2Sny,1430010712947,up,64.86,66.94,92,989366400,61.97,SYMC,17
68uNP4g49ZmXFfzJ3,1430010775829,up,71.375,78.75,90,940550400,64,XLNX,7
HK9qXnfzAxB53NPTR,1430010800500,up,90.35938,84.94,117,944006400,84.94,XLNX,7
pFj8SYbcBbu7gepEZ,1430010831871,up,34.78,35.44,90,1096588800,33.79,AIV,3
NLWfWLqRxRkTokD2f,1430010876475,up,35.40,36.19,99,1097712000,34.58,AIV,6
4EqZxwcb4r7pC9CvG,1430010916535,up,38.25,36.69,115,1099612800,36.69,AIV,9
evExYQmHkuMBbmS4Z,1430010950425,down,25.50,26.33,90,971222400,31.55,CCI,13
adoX6FEydjivv3qDF,1430011015261,up,46.125,43,106,972604800,43,AVP,18
9sN9doKPpk6drmfeJ,1430011055516,up,95.91,94.08,90,1118966400,90,AZO,9
ZTns9FDdjQek2GNBg,1430011088523,down,32.00,31.88,97,1192752000,33.5,USB,17
88bq6L3EWfCivYmDL,1430011158747,up,49.89,48,102,1305244800,48,DRI,15
Y6xrbqcNTPW2pTak9,1430011188264,down,18.8125,18.5625,90,933811200,19.21,GAS,4
rQnshjjioDSw8h9th,1430011220549,down,36.85,38.54,114,1014940800,39,ADBE,1
vDTsqtkXy8jLEM3De,1430011235235,up,39.46,38,117,1015372800,38,ADBE,5
48otjQsbwX3F6DKjw,1430011287473,down,73.03,79.12,115,1225929600,79.12,DNB,16
LHhyBbhuiAA74oY97,1430011326234,up,54.75,57.02,94,1409011200,53.77,CMCSA,14
CE2A3mNasjsyAwjHA,1430011432549,up,269.62,280.48999,121,1380758400,260,BLK,7
7dj92JSFHf7mtaRji,1430011463159,up,300.60001,323.89001,149,1384214400,290,BLK,48
25GfFa9GHbAukYRWQ,1430011535139,down,19.73,20.44,120,1141344000,20.44,KR,4
DgDwwtuijoAFYJjCC,1430011571958,up,36.84999,38.79,112,997142400,36,GGP,14
EaYFTvAb5QodCziP5,1430011703246,down,30.81,31.51,109,1373500800,31.51,EXC,3
wmLx4meSC59QYrzam,1430011770820,up,69.31,72.69,95,1268006400,66.89,UNP,11
uAqCghjyMgewMkycE,1430011883510,down,49.29,51.21,90,1275868800,51.21,MON,5
T35CNi6FgFPYqjheR,1430011911831,down,49.44,47.61,102,1277251200,51.71,MON,6
Kj94D6QkNjcTGQHEf,1430011974221,down,56.01,55.05,149,1283126400,60.03,MON,5
2iyMEdmhidQPZ73mK,1430012023172,up,77.97,77.10,98,1197244800,76,MO,2
c366KEuEW9DSCGkPJ,1430012040627,up,77.37,75.97,107,1198195200,75.97,MO,5
Lq5epNdhcR4weJ8tz,1430012067320,up,23.35,24.19,90,1064448000,22.77,PCG,9
TRD7wjCZndxGvWuvK,1430012153849,up,24.36,24.01,114,1067385600,23.77,PCG,5
iztQJbtiKFoTtLRZX,1430012196488,up,44.78,46.09,93,1344902400,43,TJX,7
73ic56SdG7Q3J2ACo,1430012270967,down,43.50,43.23,137,1350345600,44.04,TJX,3
LFAFzeMAnExiwiJjQ,1430012358343,down,39.25002,40.25,154,971049600,42.03,PCAR,7
yK62YjrnFJZxqtBMg,1430012401077,up,18.42,18.63,109,1359590400,18,DNR,1
hp7T9MGX8KjqgA3NE,1430012447420,up,18.49,18.79,137,1363132800,18,DNR,2
v7dzPQFkonKba6Go6,1430012479705,up,149.64,149.65,104,1407974400,146,FDX,7
MgrwTBQ6JE36WJzpu,1430012536179,down,33.31,36.03,113,1317686400,36.03,PCL,5
Ba2tWZv77jJz9Nrrf,1430012579594,up,46.87,44,109,1024444800,44,TXT,10
badf9F7ThjJmQoYeu,1430012620817,up,65.24,62.28,101,1082332800,62,UNH,9
inrmncgnJig7BcbzB,1430012645792,down,62.75,64.04,125,1085097600,64.04,UNH,2
njvf3F9k7qWH6QHFu,1430012658284,down,64.95,62.05,138,1086825600,66.04,UNH,11
dxjMZSqL5y6CtGN6n,1430012743011,up,30.80,29.55,91,982713600,29.55,CMS,3
zM9mSTowcHSqq5dqz,1430012774022,up,60.74,59,97,1288310400,59,COL,9
JkbGKaR36ZFTeX2MY,1430012815566,down,35.23,36.05,117,1307923200,36.05,VZ,7
dBL3r5ke5EBD5XHuk,1430012858647,up,26.11,26,113,1319500800,24,BBY,6
aXdG48JmSDWfTCLS5,1430015027713,down,75.18,80,128,1285286400,80,OXY,6
3AJyXFBqYB2TaisNJ,1430015055274,up,94.16001,96.66001,183,1292198400,88,OXY,16
B8724RTKwqqB97ayi,1430015094300,down,52.6875,58,92,969408000,58,KO,12
LkRXgSzMofHgf6WhT,1430015221240,down,34.4375,37.6875,130,958608000,42,AMG,11
8QYNefbNLAfzzWzqC,1430015248864,up,43.4375,55,160,962323200,38,AMG,60
PhomcyM6xYNRfLXe8,1430015395894,up,44.34,42,134,1061942400,42,DD,16
3gocF6TK3PmEuN9bM,1430015415407,down,40.53,40.49,160,1065139200,42,DD,20
fA55cqCTWQgoC2F3h,1430015456204,up,44.42,43,233,1074556800,43,DD,3
YiFFj8g7oTFqeevMB,1430015485934,down,86.75,89.56,130,1352851200,92,XOM,24
ptoYXGxxbANCwgkkS,1430015517287,up,89.14,87,195,1361318400,87,XOM,38
ut82nTM6FYM5waBTg,1430015594689,up,25.19998,26.77,158,997056000,23,PBCT,15
s4Qgy548eqvuaJmq9,1430015664343,down,21.02,19.77,130,1025827200,24,RL,8
dPaWYW9C8cCi6PCk6,1430015682423,down,20.29,22,149,1028160000,22,RL,7
gxL2PsdKsZYpiNFbD,1430015698312,down,21.80,21.72,170,1030665600,25,RL,19
uprTjBDsDLB6eCHBC,1430057774261,up,35.11,37.98,147,1219017600,31.75,PRGO,25
gWHRCqhgNJTd5nxvy,1430058435008,up,33.74,32.25,183,1223424000,32.25,PRGO,2
dDJZyh98kzpifXyRe,1430058699540,down,31.13,23.86,204,1225929600,37.05,PRGO,62
yKaP5tvay7AvZ9aRQ,1430058978725,down,55.64,58,131,1239062400,59,MCD,34
BvG9Bzz6QHJAR7XdA,1430059106049,up,57.55,59.16,181,1245283200,53,MCD,61
