_id,createdAt,direction,entry,exit,startIndex,startDate,stop,ticker,totalDays
JYtd7Cax5ayPYfaLb,1430069615125,up,35.44,38.98,149,1071792000,32.97,FLIR,16
5qkp6eKZP738bALXa,1430070133045,up,40.22,38.98,227,1081900800,38.98,FLIR,2
DRHqwXJknJPAq2PAq,1430070278445,up,45.11,45.79,130,1142208000,43,EQR,7
EXsyHum8fTkzipfLb,1430070327343,up,46.00,46.87,139,1143158400,44.97,EQR,5
oGXiFfmj8huZiMaey,1430070594528,up,44.90,45.69,198,1150675200,41.5,EQR,18
8fh2QiwYEidRzmNqe,1430073087426,up,53.81,55.94,130,1257206400,51.94,HES,25
xpwnmYpg6xgEBK8io,1430073408990,up,62.25,59,182,1263945600,59,HES,3
iDF6rNvGAcQqR9qxB,1430073431940,up,59.26,59.97,188,1264636800,53,HES,15
p4dDhvdSczxPaMKmY,1430073684347,up,30.07,28.66,205,1321488000,28.66,NLSN,2
rwN89hC9gwkwhpbBf,1430073870060,up,29.30,27.46,190,1346976000,27.77,TXN,14
EEkyXvKsTPgrzSbcY,1430074007227,up,27.17,24.44,224,1271289600,24.96,EBAY,6
dJYnp7Lwzxp7qWry3,1430074112390,up,37.97,37,230,1307664000,37,GIS,10
BfZ5cD445KFE74jyv,1430074163778,up,95.60,100.90,188,1155513600,91,BXP,15
eomDsWDY8rz8dv5FG,1430262040323,up,86.80,92.47,134,1169510400,83.5,WHR,12
FGRjieKQNZ3Fd4azE,1430262172609,up,91.32,92,150,1171411200,87.77,WHR,9
QQL4BnkkDWXPw6qMi,1430262227263,up,89.15,107.40,192,1176768000,85.5,WHR,7
MmxPGJW5EoX3sHFQQ,1430262272034,down,23.97999,26.06,130,1093824000,26.06,DLTR,10
eR3mZLT9rMHKDGwNb,1430262296610,down,26.31,26.06,148,1095984000,28.06,DLTR,18
r74TdofBajuyH46vn,1430262755882,up,38.00,37.96,135,1168387200,37,MKC,10
joaHuCwKhHM9RA9pW,1430262861831,up,55.34,54,155,1118707200,54,PEP,10
QFFDrvp9EMxDc5Yid,1430262916168,up,57.37,58.78,242,1129507200,56,PEP,12
WH95j3E9eB9LF6fcH,1430262987291,down,255.56,293.45999,141,1352937600,300,CMG,23
7ciiEqjZvA82zk9xk,1430263045329,up,25.3125,25.68,145,957225600,24,SHW,17
dkLgoX6oagFFciCKJ,1430263156197,up,61.76,62.25,180,1205280000,54.97,RRC,9
JtQNtG5m4sQKhdZDz,1430263190122,up,67.59,64.97,213,1209427200,64.97,RRC,1
PAsRFup5rqLSAqZSR,1430263242273,up,45.9375,40.5,130,976147200,40.5,PNW,19
QndxJf7dG5GvAQyKM,1430263285084,up,62.57,60,161,1387497600,60,TJX,20
ueKXqKYBsvTbQtnup,1430263306071,down,60.00,62,199,1392681600,62,TJX,7
8GEBCW9aJvPmhfejN,1430263316113,down,60.80,55.55,207,1393545600,62.5,TJX,67
cCmxd79q4HEjpJACT,1430265299053,down,39.21,42,130,1173225600,42,SNDK,10
2HQB6zb2cvRhJhchW,1430265324320,down,42.86,46,158,1176768000,46,SNDK,9
2oLfgQChgqb2P4Smr,1430265346229,up,48.31,56.75,209,1182988800,45.97,SNDK,18
q6EpxgB66dyCWSixp,1430265517055,up,199.00,214,142,1384473600,190,ICE,8
2vpjT2rrJLzAPT74L,1430265640157,down,200.38,192.4,248,1398124800,209,ICE,22
2iGgjrDKzebkNs9kK,1430265729499,up,68.03,70.74,152,1112227200,66,WY,7
78mdFWeeWFzeP2oxf,1430265805510,up,62.89,66.30,171,1114560000,61,WY,1
SonARsXid5GKKkdE9,1430265840834,up,66.40,66.03,205,1118793600,64,WY,7
Syd9QHtyoTTKBxbFf,1430268716552,up,54.39,58.48,143,1095724800,53,LUK,13
YT7qJTdJrj2gskdhe,1430268819176,up,57.51001,58.48,168,1098748800,55,LUK,13
TsuWu65XuXNkKTfus,1430271638579,up,46.89,51.35,135,986774400,44,PPL,8
SBjir2MzSKPT6J8iv,1430271732802,up,60.10,57.50,172,991353600,57,PPL,3
2YBWWCw5FAcW9eGAC,1430271745886,up,57.80,55.4,179,992304000,55.4,PPL,3
NQhwf4qwJv6buzCH2,1430271806912,up,49.875,47.4,130,948240000,47.4,BCR,3
qBRiSQDZLksR9WCZc,1430271827212,down,40.5625,39,151,950745600,44,BCR,6
wiMWvX7qytemrih48,1430271869384,up,41.50,40,188,955411200,40,BCR,5
aqpgJykkyGqxyATzH,1430271913544,up,112.26,115.33,133,1397692800,109,MON,16
7KwssJo2jQQcj3t9E,1430271989111,up,121.84,126.73,176,1403136000,118,MON,5
3RveZ67xu9Eii5znH,1430354674446,down,26.00,27.22,130,978566400,29,K,31
eLmPjR2w3eh8xXMJX,1430354737028,up,34.15,34.89,130,1174953600,32.39,AA,12
w5Rj3bywS8xKacPeA,1430354823977,down,35.39,34,226,1186963200,38,AA,6
sCrRPdMBKZ6mLygnZ,1430354847196,down,35.71,35.25,238,1188345600,38,AA,12
oem48RtYX7putmbut,1430354958013,up,57.60,58.94,136,1343865600,55.89,HON,14
ffahwjRuncnnCC4XD,1430355013242,up,59.41,60.48,174,1348617600,57,HON,11
eWc7pyK99jPihw9oT,1430355062122,up,62.36,61.97,200,1352073600,60.68,HON,3
f5C8bru8sFjiFmGfm,1430355220982,down,17.41,16.88,130,1012348800,21.03,CTXS,12
vA9AeALkvJk4mBpcF,1430355262701,down,15.32,18,151,1014940800,18,CTXS,7
gwWRBi2TSTe2SMjYt,1430355329963,down,10.16,9.73,131,1089590400,11,ETFC,6
